dato,kl,km,kmh,kwp100,kw,eco,DCFC,Target,Country,Geo,Celsius,mm,hoh,hdif
24/11/23,619,117,103.5,22,25.7,116.8,X,Ringdalskogen-Ionity,NO,O,2,,,,
24/11/23,733,11,13.4,26.1,2.9,11,,Color Line Larvik,NO,O,2,,,,
24/11/23,1320,106,98.8,23.4,24.8,106,x,Nørager,DK,J,6,,,,
24/11/23,1418,47,120.1,23,10.7,56.5,,randers,DK,J,6,,,,
24/11/23,1536,110,89.1,18.3,20.1,110.2,,fredericia,DK,J,4,,,,
24/11/23,1623,74,103.5,23,16.9,73.6,x,rødekro-Ionity,DK,J,3,,,,
24/11/23,1932,196,91.4,20.7,40.7,194.1,,hamburg,DE,N,2,,,,
24/11/23,2149,61,69.3,25.4,15.5,61,,egestorf,DE,N,2,,,,
25/11/23,801,9.8,66.7,43.3,4.3,9.8,x,braunautal,DE,C,1,1,,,
25/11/23,1043,234,120.1,26.5,62.1,18.8,x,oelde,DE,C,3,1,,,
25/11/23,1413,252,93.2,22.9,57.6,36.5,,nurburgring,DE,V,3,1,,,
25/11/23,1607,1,5.4,52,0.5,1,x,eifeldorf,DE,V,3,1,,,
25/11/23,1746,59,83,16.6,9.9,59.4, ,salmtal,DE,V,3,1,,,
25/11/23,1935,140,83.1,19.2,26.8,139.8,x,hauconcourt,FR,S,4,,,,
25/11/23,2236,215,108.7,24.9,53.6,0,x,fontaines,FR,S,2,,,,
26/11/23,58,177,123.9,26.6,47,176.8,x,saint-albain,FR,S,2,,,,
26/11/23,419,235,104.6,22.2,52.3,20,x,allan ,FR,S,2,,,,
26/11/23,739,233,92.3,19.4,45.2,17.4,x,salles d aude,FR,S,5,,12,,
26/11/23,951,175,115.3,25.7,45,174.9,x,vilobi,ES,N,12,,148,,
26/11/23,1245,214,102.7,19.6,42.1,214.4,,les borges ,ES,N,16,,304,,
26/11/23,1358,21,48.2,28.9,6.1,21,x,montsant,ES,N,17,,533,,
26/11/23,1437,8.4,20.6,43.7,3.7,8.4,,cornudella de montsant,ES,N,17,,737,,
26/11/23,1547,40,40.7,12.8,5.1,39.6,,vimbodi,ES,N,16,,496,,
26/11/23,1644,47,76.4,15.7,7.3,46.6,x,vila-sana,ES,N,13,,249,,
26/11/23,1754,28,61.1,18.3,5,27.6,,lleida,ES,N,10,,155,,
27/11/23,1359,30,43.6,21.9,6.5,29.6,,fraga,ES,C,12,,118,,
27/11/23,1549,130,76,16.4,21.3,129.3,x,l aldea,ES,C,15,,9,,
27/11/23,1745,132,112.8,19.9,26.3,131.8,,burriana,ES,C,22,,,,
27/11/23,1920,165,108.4,20,32.9,165,x,ondara,ES,C,21,,,,
27/11/23,2146,50,98.8,21.3,10.6,49.9,x,villajoyosa,ES,C,20,,,,
28/11/23,34,198,104.8,22.2,44,197.6,x,puerto lumbreras,ES,C,16,,,,
28/11/23,244,84,98.5,26.8,22.6,84.4,x,cullar,ES,C,13,,,,
28/11/23,443,146,104,20.1,29.3,145.8,,zafayona,ES,C,14,,,,
28/11/23,745,72,97.3,20.6,14.8,71.8,x,casabermeja,ES,C,19,,,,
28/11/23,924,35,57.1,6.2,2.2,35.3,,torremolinos,ES,S,21,,,,
28/11/23,1037,4.2,7.5,33.6,1.4,4.2,,torremolinos,ES,S,22,,,,
28/11/23,1045,1,20.4,21,0.2,1,,torremolinos,ES,S,22,,,,
28/11/23,1110,3.6,15.8,24.4,0.9,3.6,,torremolinos,ES,S,23,,,,
28/11/23,1237,1.7,21.6,20.4,0.3,1.7,,torremolinos,ES,S,23,,,,
28/11/23,1610,2.4,21.2,21.9,0.5,2.4,,torremolinos,ES,S,23,,,,
28/11/23,2031,25,25.6,18.7,4.7,25.1,,torremolinos,ES,S,22,,,,
29/11/23,957,1.5,18.5,30.2,0.5,1.5,,torremolinos,ES,S,16,,,,
29/11/23,1456,1.8,16.6,22.5,0.4,1.8,,torremolinos,ES,S,20,,,,
29/11/23,1659,2.3,16.1,30.1,0.7,2.3,,torremolinos,ES,S,22,,,,
29/11/23,1952,3.6,31.4,16.8,0.6,3.6,,torremolinos,ES,S,21,,,,
30/11/23,1256,185,92.7,17.9,33.1,164.6,x,el ejido,ES,C,21,,,,
30/11/23,1617,237,96.6,19.4,46,22.5,,cartagena,ES,C,22,,,,
01/12/23,1307,130,65.2,17.8,23.1,129.6,x,orihuela,ES,C,16,,,,
01/12/23,1537,99,54,17.3,17.1,98.6,x,villajoyosa,ES,C,17,,,,
01/12/23,1824,231,113,22,50.8,15,x,castellan,ES,C,18,,,,
01/12/23,2010,117,93.4,20.8,24.4,117.4,x,l'ldea,ES,C,16,,,,
01/12/23,2142,67,81,21,14,66.6,,vila-secs,ES,N,14,,,,
01/12/23,2204,2.1,12.7,27.8,0.6,2.1,,vila-seca,ES,N,12,,,,
01/12/23,2213,1,10.6,32.1,0.3,1,,vila-seca,ES,N,10,,42,,
02/12/23,1145,14,32.4,25.6,3.7,14.4,,reus,ES,N,14,,134,,
02/12/23,1315,33,38.8,28.1,9.3,33.3,,cornudella de montsant,ES,N,15,,533,,
02/12/23,1522,8.4,31.2,42.8,3.6,8.4,,lo cami ral,ES,N,14,,737,,
02/12/23,1743,141,70.1,14.4,20.4,141.4,,llobregat,ES,N,16,,4,,
02/12/23,1809,21,59,17.2,3.6,20.9,x,palloja,ES,N,15,,,,
02/12/23,2003,102,104.5,20.3,20.6,101.8,,aiguaviva,ES,N,10,,,,
02/12/23,2208,219,109.4,23.1,50.4,3.3,,agde,FR,S,2,,,,
02/12/23,2216,1,10.9,30.6,0.3,1,x,agde,FR,S,1,,,,
03/12/23,102,211,118,27.6,58.2,211,x,allan,FR,S,-2,,,,
03/12/23,354,176,103.4,26.1,46,176.3,x,dagneux,FR,S,-4,,,,
03/12/23,553,129,104.8,25.3,32.7,129,x,arlay,FR,S,-2,,,,
03/12/23,837,223,108.5,26.6,59.2,7.8,x,ecot,FR,S,-2,,,,
03/12/23,1110,154,102.9,18.9,29.2,154,x,mahlberg,DE,S,-1,,,,
03/12/23,1354,178,92.8,24.6,43.9,178.2,,stuttgart,DE,S,1,,,,
03/12/23,1719,40,56.9,25.8,10.3,39.7,x,ilsfeld,DE,S,-4,,,,
03/12/23,1820,16,51.6,16.5,2.6,16,,heilbronn,DE,S,-5,,,,
04/12/23,1328,211,97.8,24.2,51,211,x,eichenzell,DE,E,0,1,,,
04/12/23,1558,205,118.2,23.2,47.9,205.4,x,sessen,DE,E,-1,1,,,
04/12/23,1910,239,115,22.6,54.1,23.9,x,todendorf,DE,E,-2,1,,,
